,repository_name,language
0,amazon-pay-sdk-java,Java
1,amazon-pay-sdk-php,PHP
2,amazon-pay-sdk-python,Python
3,amazon-pay-sdk-ruby,Ruby
4,amazon-payment-files-tools,Kotlin
5,amazon-payments-magento-2-plugin,PHP
6,amazon-ray,Python
7,amazon-s3-gst-plugin,C
8,amazon-sidewalk-android-samples,
9,amazon-sidewalk-ios-samples,Swift
10,amazon-succinct-doc-representation,Python
11,amazon-template-library,
12,amazon-weak-ner-needle,Python
13,amigitenough,Go
14,amzn-drivers,C
15,amzn-ec2-ena-utilities,Python
16,app-platform,Kotlin
17,armbench,Python
18,augment-the-pairs-wacv2024,Python
19,autotrail,
20,aws-apigateway-client-lib,
21,aws-sigv4-signing-samples,Java
22,AWSSecurityCareerPathwayActivityRust,Rust
23,awsssmchaosrunner,Kotlin
24,basis-point-sets,Python
25,BayesPE,Python
26,buy-with-prime-cdk-constructs,TypeScript
27,buy-with-prime-monitoring-sample-cdk,TypeScript
28,chalet-charging-location-for-electric-trucks,Python
29,computer-vision-basics-in-microsoft-excel,
30,confident-sinkhorn-allocation,Jupyter Notebook
31,convolutional-handwriting-gan,Python
32,cosearcher,Python
33,credence-to-causal-estimation,Python
34,data-jack-knife,Java
35,debiased-balanced-interleaving,Jupyter Notebook
36,differential-privacy-bayesian-optimization,Python
37,distance-assistant,Python
38,drs-sample-android-app,Java
39,drs-sample-ios-app,Objective-C
40,efa-dp-direct,Cuda
41,emukit-playground,JavaScript
42,eslint-plugin-no-date-parsing,TypeScript
43,exoplayer-amazon-port,Java
44,explainable-text-vqa,
45,extremely-efficient-query-encoder,Python
46,faithful-data2text-cycle-training,Python
47,fashion-attribute-disentanglement,Python
48,fire-app-builder,Java
49,firetv-sample-touch-app,Java
50,fkat,Python
51,ftv-integration-sdk-sample-app,Kotlin
52,ftv-livetv-sample-tv-app,Java
53,gameon-sample-game-unity,C#
54,gameon-starter-kit-unity,C#
55,git-commit-template,JavaScript
56,glad,JavaScript
57,golang-gitoperations,Go
58,gpt-oss.java,Java
59,halo-third-party-sdk-for-java,Java
60,halo-third-party-sdk-for-node-js,TypeScript
61,halo-third-party-sdk-for-python,Python
62,hawktracer,C++
63,image-misspell-coling2020,
64,image-to-recipe-transformers,Python
65,informative-diverse-hard-negative-sampling,Python
66,ion-cascading-config,Java
67,ion-object-mapper-dotnet,C#
68,jekyll-doc-project,HTML
69,kotlin-inject-anvil,Kotlin
70,kqr,
71,lib-3d-scene-viewer,TypeScript
72,login-with-amazon-oscommerce,
73,login-with-amazon-wordpress,
74,media3-external-port,
75,merlin-on-demand-callgraph,JavaScript
76,metalearn-leap,Python
77,milan,Scala
78,MonitoringCustomMetrics,Python
79,mrc-net-6d-pose,Python
80,multiconer-baseline,Python
81,multilingual-keyphrase-generation,Python
82,multimodal-affinities,Python
83,MXFusion,Python
84,nimbus-jose-jwt_aws-kms-extension,Java
85,node-jose_aws-kms-extension,TypeScript
86,openapi-swift-code-generate,Swift
87,orthogonal-additive-gaussian-processes,Python
88,oss-attribution-builder,TypeScript
89,oss-contribution-tracker,TypeScript
90,oss-dashboard,Ruby
91,pecos,Python
92,pretraining-or-self-training,Python
93,python-jose_aws-kms-extension,Python
94,rdma-core,C
95,refuel-open-domain-qa,Python
96,rete-thewebconf-2022,Python
97,rheoceros,Python
98,robotiq-gripper-interface,C++
99,selling-partner-api-docs,
100,selling-partner-api-models,Mustache
101,selling-partner-api-php-release,PHP
102,selling-partner-api-postman,
103,selling-partner-api-samples,Java
104,selling-partner-api-sdk,PHP
105,seqzero,Python
106,service-model-swift-code-generate,Swift
107,sid-provision,Python
108,sid-signing-tool,Python
109,sketch-constructor,JavaScript
110,smoke-aws,Swift
111,smoke-aws-credentials,Swift
112,smoke-aws-generate,Swift
113,smoke-aws-support,Swift
114,smoke-dynamodb,Swift
115,smoke-framework,Swift
116,smoke-framework-application-generate,Swift
117,smoke-framework-examples,Swift
118,smoke-http,Swift
119,sparse-vqvae,Python
120,ss-aga-kgc,Python
121,sto-transformer,Python
122,supply-chain-simulation-environment,Python
123,tiny-attribution-generator,TypeScript
124,traffic-quality-smart-pixel-loader,TypeScript
125,trans-encoder,Python
126,user-satisfaction-modeling,Python
127,workspace-resolver,JavaScript
128,ws-vae,Python
129,xfer,Python
130,zeek-plugin-bacnet,Zeek
131,zeek-plugin-enip,Zeek
132,zeek-plugin-profinet,Zeek
133,zeek-plugin-s7comm,Zeek
134,zeek-plugin-tds,Zeek
135,zero-shot-rlhr,Python
