,repository_name,language
0,conductor-docs,Python
1,conductor-ui,JavaScript
2,consoleme,Python
3,curator,Java
4,denominator,Java
5,derand,Java
6,dgs,HTML
7,dgs-codegen,Kotlin
8,dgs-examples-java,Java
9,dgs-examples-java-2.7,Java
10,dgs-examples-java.latest,Java
11,dgs-examples-kotlin,Kotlin
12,dgs-examples-kotlin-2.7,Kotlin
13,dgs-examples-webflux,Java
14,dgs-federation-example,Kotlin
15,dgs-framework,Kotlin
16,dgs-intellij-plugin,Kotlin
17,dial-reference,C
18,dispatch,Python
19,dispatch-docker,Shell
20,dyno,Java
21,dyno-queues,Java
22,dynomite,C
23,dynomite-manager,Java
24,e2nest,Python
25,eclipse-jifa,Java
26,eclipse-mat,
27,edda,Scala
28,edda-client,Java
29,element-server,JavaScript
30,ember-batch-request,JavaScript
31,ember-nf-graph,JavaScript
32,ember-nf-graph-examples,JavaScript
33,eslint-config-netflix,Shell
34,eslint-plugin-x-element,JavaScript
35,eureka,Java
36,eureka-ui,JavaScript
37,EVCache,Java
38,fabricator,Java
39,falcor,JavaScript
40,falcor-datasource-chainer,JavaScript
41,falcor-express,JavaScript
42,falcor-express-demo,HTML
43,falcor-hapi,JavaScript
44,falcor-hapi-demo,HTML
45,falcor-http-datasource,JavaScript
46,falcor-json-graph,JavaScript
47,falcor-observable,JavaScript
48,falcor-path-syntax,JavaScript
49,falcor-path-utils,JavaScript
50,falcor-restify,JavaScript
51,falcor-restify-demo,HTML
52,falcor-router,JavaScript
53,falcor-router-demo,JavaScript
54,fast_jsonapi,Ruby
55,Fenzo,Java
56,Fido,C#
57,flamescope,Python
58,frigga,Java
59,genie,Java
60,glisten,Groovy
61,global-lock-bench,C
62,go-env,Go
63,go-expect,Go
64,go-iomux,Go
65,governator,Java
66,gradle-template,Java
67,hal-9001,Go
68,hollow,Java
69,hollow-reference-implementation,Java
70,hubcommander,Python
71,Hystrix,Java
72,iceberg,Java
73,iceberg-python,Python
74,iep,Java
75,iep-shadow,
76,image_compression_comparison,Python
77,inviso,JavaScript
78,karyon,Java
79,lemur,Python
80,lemur-docker,Python
81,libamicontained,Rust
82,Lipstick,JavaScript
83,maestro,Java
84,mantis,Java
85,mantis-api,Java
86,mantis-cli,JavaScript
87,mantis-connectors,Java
88,mantis-control-plane,Java
89,mantis-examples,Java
90,mantis-gradle-plugin,Groovy
91,mantis-helm,Smarty
92,mantis-mql,Clojure
93,mantis-rxcontrol,Java
94,mantis-rxnetty,
95,mantis-source-jobs,Java
96,mantis-ui,TypeScript
97,matchcut,Jupyter Notebook
98,metacat,Java
99,metaflow,Python
100,metaflow-docs,JavaScript
101,metaflow-extensions-template,Python
102,metaflow-nflx-extensions,Python
103,metaflow-service,Python
104,metaflow-tools,HCL
105,metaflow-ui,TypeScript
106,metrics-client-go,Go
107,msl,C++
108,ndbench,HTML
109,nerror,JavaScript
110,netflix-commons,Java
111,netflix-graph,Java
112,netflix.github.com,HTML
113,netflixoss-npm-build-infrastructure,
114,nf-data-explorer,TypeScript
115,nflx-geofeed,
116,nflxprofile,Python
117,NfWebCrypto,C++
118,Nicobar,Java
119,ocelli,Java
120,octodns,Python
121,octodns-ns1,Python
122,octodns-route53,Python
123,octodns-ultra,Python
124,OpenVPCal,Python
125,osstracker,Scala
126,ostris-ai-toolkit-fork,
127,p2plab,Go
128,photon,Java
129,PigPen,Clojure
130,pollyjs,JavaScript
131,polynote,HTML
132,Prana,Java
133,Priam,Java
134,probnik,TypeScript
135,pygenie,Python
136,pytheas,JavaScript
137,q,Java
138,Raigad,Java
139,ReactiveLab,Java
140,read_bbrlog,C
141,recipes-rss,Java
142,rend,Go
143,rend-http,Go
144,rend-lmdb,Go
145,repokid,Python
146,restful-jsonapi,Ruby
147,ribbon,Java
148,runtime-health,Java
149,rx-aws-java-sdk,Java
150,s3mper,Java
151,security-bulletins,
152,security_monkey,Python
153,servo,Java
154,sherlock,R
155,signal-wrapper,Go
156,SimianArmy,Java
157,sleepy-puppy-docker,Dockerfile
158,spark,Scala
159,spectator,Java
160,spectator-cpp,C++
161,spectator-go,Go
162,spectator-go-runtime-metrics,Go
163,spectator-js,TypeScript
164,spectator-py,Python
165,spectator-py-runtime-metrics,Python
166,spectator-rb,Ruby
167,staash,Java
168,sureal,Python
169,suro,Java
170,Surus,Java
171,taskintrospection,C
172,tcplog_dumper,C
173,techreports,
174,titus,
175,titus-api-definitions,Makefile
176,titus-control-plane,Java
177,titus-executor,Go
178,titus-kube-common,Go
179,tslint-config-netflix,JavaScript
180,ttal-dapt-conv,JavaScript
181,Turbine,Java
182,unleash,JavaScript
183,user2020-metaflow-tutorial,R
184,vector,JavaScript
185,vectorflow,D
186,videoannotator,Jupyter Notebook
187,virtual-kubelet,Go
188,vizceral,JavaScript
189,vizceral-component,JavaScript
190,vizceral-example,JavaScript
191,vizceral-react,JavaScript
192,vmaf,Python
193,vmaf_resource,
194,vp9-dash,
195,webpack-parse-query,JavaScript
196,weep,Go
197,Workflowable,Ruby
198,x-element,JavaScript
199,x-test,JavaScript
200,x-test-cli,JavaScript
201,yetch,JavaScript
202,zeno,Java
203,zuul,Java
